dataset_id,source,date,lat,lon,rainfall_amount,unit,native_resolution,observation_time,publication_time,quality_flag
IMD-GRIDDED-025-DAILY,IMD,2022-08-12,20.0,85.0,56.17,mm/day,0.25 deg,2022-08-12T00:00:00+00:00,2022-08-13T00:00:00+00:00,GOOD
IMD-GRIDDED-025-DAILY,IMD,2022-08-12,20.0,85.25,70.43,mm/day,0.25 deg,2022-08-12T00:00:00+00:00,2022-08-13T00:00:00+00:00,GOOD
IMD-GRIDDED-025-DAILY,IMD,2022-08-12,20.0,85.5,78.22,mm/day,0.25 deg,2022-08-12T00:00:00+00:00,2022-08-13T00:00:00+00:00,GOOD
IMD-GRIDDED-025-DAILY,IMD,2022-08-12,20.0,85.75,77.65,mm/day,0.25 deg,2022-08-12T00:00:00+00:00,2022-08-13T00:00:00+00:00,GOOD
IMD-GRIDDED-025-DAILY,IMD,2022-08-12,20.0,86.0,68.84,mm/day,0.25 deg,2022-08-12T00:00:00+00:00,2022-08-13T00:00:00+00:00,GOOD
IMD-GRIDDED-025-DAILY,IMD,2022-08-12,20.0,86.25,53.97,mm/day,0.25 deg,2022-08-12T00:00:00+00:00,2022-08-13T00:00:00+00:00,GOOD
IMD-GRIDDED-025-DAILY,IMD,2022-08-12,20.0,86.5,36.66,mm/day,0.25 deg,2022-08-12T00:00:00+00:00,2022-08-13T00:00:00+00:00,GOOD
IMD-GRIDDED-025-DAILY,IMD,2022-08-12,20.0,86.75,21.16,mm/day,0.25 deg,2022-08-12T00:00:00+00:00,2022-08-13T00:00:00+00:00,GOOD
IMD-GRIDDED-025-DAILY,IMD,2022-08-12,20.25,85.0,54.98,mm/day,0.25 deg,2022-08-12T00:00:00+00:00,2022-08-13T00:00:00+00:00,GOOD
IMD-GRIDDED-025-DAILY,IMD,2022-08-12,20.25,85.25,69.23,mm/day,0.25 deg,2022-08-12T00:00:00+00:00,2022-08-13T00:00:00+00:00,GOOD
IMD-GRIDDED-025-DAILY,IMD,2022-08-12,20.25,85.5,77.03,mm/day,0.25 deg,2022-08-12T00:00:00+00:00,2022-08-13T00:00:00+00:00,GOOD
